t (s),V (mV)
0,20.9256
1.049,20.889
2.099,20.8555
3.144,20.8158
4.145,20.775
5.145,20.7341
6.145,20.6906
7.144,20.6481
8.144,20.6033
9.144,20.5585
10.145,20.513
11.145,20.4682
12.145,20.4222
13.145,20.3767
14.145,20.3311
15.145,20.2851
16.145,20.2387
17.145,20.1916
18.145,20.1461
19.145,20.0989
20.145,20.0525
21.145,20.0053
22.144,19.9583
23.145,19.9115
24.144,19.8651
25.145,19.8179
26.145,19.7716
27.145,19.7253
28.145,19.6789
29.145,19.6327
30.144,19.5857
31.144,19.54
32.144,19.5006
33.144,19.4578
34.144,19.4131
35.144,19.3671
36.144,19.3206
37.145,19.2701
38.145,19.2235
39.145,19.177
40.145,19.1308
41.145,19.0852
42.145,19.0402
43.144,18.9949
44.145,18.9496
45.144,18.9047
46.144,18.8552
47.144,18.8113
48.144,18.7674
49.144,18.7223
50.144,18.6779
51.144,18.6336
52.144,18.5899
53.144,18.5457
54.145,18.5022
55.145,18.4593
56.145,18.4153
57.145,18.3717
58.145,18.3283
59.145,18.2855
60.145,18.2422
61.145,18.1989
62.145,18.1558
63.145,18.113
64.145,18.0699
65.145,18.0268
66.144,17.9845
67.144,17.9425
68.144,17.8995
69.144,17.8574
70.144,17.8131
71.144,17.77
72.144,17.7281
73.144,17.6856
74.144,17.6429
75.144,17.6018
76.144,17.5598
77.144,17.5184
78.144,17.4766
79.144,17.4351
80.144,17.3937
81.144,17.3526
82.144,17.3109
83.144,17.2708
84.145,17.23
85.145,17.1893
86.145,17.1484
87.145,17.1085
88.145,17.0682
89.145,17.0276
90.144,16.988
91.144,16.9479
92.144,16.9078
93.144,16.868
94.144,16.8283
95.144,16.7883
96.144,16.7495
97.144,16.7099
98.145,16.6711
99.145,16.632
100.145,16.5936
101.145,16.5555
102.145,16.5171
103.145,16.4781
104.145,16.4399
105.145,16.4015
106.145,16.3635
107.145,16.3261
108.145,16.2878
109.145,16.2499
110.145,16.2128
111.144,16.1753
112.144,16.1376
113.145,16.0995
114.145,16.0625
115.144,16.0246
116.144,15.988
117.144,15.9492
118.144,15.9129
119.144,15.8762
120.144,15.8384
121.145,15.8013
122.144,15.7645
123.145,15.7271
124.145,15.6898
125.145,15.6521
126.144,15.616
127.144,15.5796
128.144,15.5421
129.145,15.5065
130.145,15.4696
131.145,15.4332
132.145,15.3977
133.144,15.3618
134.144,15.3255
135.144,15.2897
136.145,15.2534
137.145,15.2192
138.145,15.1856
139.145,15.1508
140.144,15.1156
141.144,15.0808
142.144,15.0464
143.145,15.0126
144.145,14.9778
145.144,14.9428
146.144,14.9095
147.144,14.8743
148.145,14.8419
149.144,14.8078
150.144,14.7733
151.144,14.7391
152.145,14.705
153.145,14.671
154.144,14.6372
155.144,14.6033
156.144,14.5696
157.145,14.5346
158.144,14.5002
159.144,14.4634
160.144,14.4327
161.145,14.3984
162.145,14.3634
163.144,14.3298
164.144,14.2977
165.145,14.264
166.145,14.2303
167.145,14.1985
168.144,14.167
169.145,14.1337
170.144,14.102
171.145,14.0685
172.144,14.0362
173.144,14.003
174.144,13.9707
175.144,13.9384
176.145,13.9071
177.144,13.8751
178.145,13.8434
179.145,13.8121
180.144,13.7858
181.144,13.7561
182.144,13.7258
183.145,13.6942
184.144,13.6631
185.144,13.6317
186.145,13.6005
187.144,13.5695
188.144,13.5379
189.145,13.5028
190.145,13.4767
191.145,13.4491
192.144,13.4185
193.144,13.3878
194.145,13.3574
195.145,13.3259
196.144,13.2953
197.144,13.2643
198.145,13.2326
199.145,13.197
200.144,13.168
201.145,13.1385
202.145,13.1096
203.144,13.08
204.144,13.0449
205.144,13.0138
206.145,12.9845
207.144,12.9556
208.144,12.9255
209.145,12.8948
210.144,12.8675
211.144,12.8369
212.145,12.8071
213.145,12.7786
214.144,12.7492
215.145,12.7211
216.145,12.6926
217.144,12.6639
218.144,12.6358
219.145,12.6072
220.144,12.579
221.144,12.5501
222.145,12.5219
223.144,12.4942
224.145,12.469
225.145,12.4421
226.144,12.4137
227.145,12.3834
228.144,12.3501
229.144,12.3264
230.145,12.299
231.144,12.2711
232.144,12.242
233.145,12.2129
234.144,12.1855
235.144,12.1574
236.145,12.1301
237.144,12.1023
238.145,12.074
239.144,12.0464
240.144,12.0189
241.145,11.9908
242.145,11.9631
243.145,11.9362
244.144,11.9098
245.145,11.8827
246.144,11.8556
247.145,11.8292
248.144,11.8029
249.144,11.7752
250.144,11.7498
251.145,11.7235
252.144,11.6966
253.144,11.6698
254.144,11.6439
255.144,11.6176
256.145,11.5911
257.144,11.5647
258.145,11.5386
259.144,11.5126
260.144,11.4862
261.145,11.4603
262.144,11.4343
263.144,11.4079
264.145,11.3809
265.144,11.355
266.145,11.3276
267.145,11.3017
268.144,11.2748
269.145,11.2491
270.144,11.2227
271.145,11.1977
272.144,11.1706
273.144,11.1453
274.145,11.1197
